ID,indicator,R1,G1,B1,R2,G2,B2,stdR,stdG,stdB,asymetry,border_irregularity,mean_distance
ISIC_0000000,0.23237235882805235,98,86,88,55,46,51,37.57146117966034,32.459705021647586,33.90973822348263,0.006971449667352029,0.0045043707625461475,170.3467927587074
ISIC_0000001,0.127298606758567,67,41,32,40,26,22,10.079568734778743,6.33463931963453,5.061833313832173,0.01241341551492662,0.009091651988541387,46.94472822812468
ISIC_0000003,0.2794513102009074,146,102,69,96,59,42,55.07534448323007,37.367573782159724,26.05415724219113,0.10959124713895559,0.08474537027931214,125.08720910200245
ISIC_0000004,0.29154981016167353,193,150,182,190,102,124,85.30300696789877,59.15772649585181,71.18090320733174,0.09997600320800684,0.1322699989165169,128.84507845694472
ISIC_0000007,0.13760397036229505,104,81,71,87,59,47,20.075981761213477,14.78441696927657,12.494285834659681,0.05704294272569606,0.21713597616425104,54.30616515430783
ISIC_0000008,0.2280431596737942,150,97,66,105,55,37,60.00156272496453,37.837544557206726,26.229319306659725,0.07367743699186884,0.10278725155735641,124.57425351848772
ISIC_0000009,0.21137738825799574,138,99,73,110,62,42,46.86864486029063,31.967806058959148,23.37749651790863,0.0068375664361867905,0.005242743457156653,121.67628357552574
ISIC_0000012,0.08365941484900051,114,68,57,93,51,45,14.518738864799296,8.254167452088401,7.133593021719958,0.12603781955414262,0.15737155886091855,36.1083738206001
ISIC_0000013,0.12023790437209966,108,65,49,45,34,30,27.702848828259107,18.06491683656804,14.732222726961496,0.050137211225587223,0.13975377590117408,111.96743701341258
ISIC_0000015,0.22205440438360644,151,110,85,122,66,39,47.84727418487329,30.859769130799823,22.230653481973533,0.11072967702887888,0.1077831409413955,105.38973719808779
ISIC_0000016,0.1496944099758931,100,73,70,64,48,51,27.59287480237237,20.49916545097391,20.635719062322643,0.1318161612989202,0.11007538772781814,94.12131598025478
ISIC_0000017,0.1898736784857034,128,82,59,98,50,35,33.32612953689349,19.703876638345516,14.207105528927947,0.004705486840512449,0.004309431283066451,88.7688045648365
ISIC_0000019,0.23387568347685264,150,101,80,109,60,49,54.4775330311587,34.205068179059985,27.638589897132412,0.10539447236606142,0.11435938722003115,122.83092562941874
ISIC_0000020,0.26884975723520105,173,114,98,118,53,43,51.08167307841252,29.262340421943698,24.844574559621424,0.005187350674941749,0.0036726277452500274,134.0670200121128
ISIC_0000021,0.1404693413292722,153,95,63,167,116,89,58.70500732258631,38.68017647063824,28.235344452523567,0.005630410809738922,0.005382569539650608,130.28961864092156
ISIC_0000023,0.14638701535876134,142,97,81,123,73,59,42.83234818997784,27.723836650008504,22.86584647431918,0.12580721244782492,0.10991341213777599,86.54171909035496
ISIC_0000025,0.04359729031999964,189,92,93,168,64,63,60.77188748176874,28.96527794796834,29.39091002371499,0.004459499918251118,0.003948333646703818,108.10903913398658
ISIC_0000026,0.21400463380869453,163,131,136,147,98,90,77.95231271636696,59.82316913869186,60.85074626187501,0.04800278876004458,0.20114467011895604,166.1098918698311
ISIC_0000027,0.18221789788351808,150,112,88,129,82,59,46.43225813040589,32.67716332625348,25.0807513767139,0.048245972335348344,0.09533241796297526,88.63325322903655
ISIC_0000028,0.20711413456216127,117,76,62,67,44,43,33.63148884888495,22.07895555780642,19.17131233413385,0.12734086740928585,0.12889087984042003,92.35949524970876
ISIC_0000029,0.12743957874756343,108,62,57,61,33,29,35.82887157360271,20.068299924417442,18.358137253641498,0.004306441701460109,0.00503147732674021,137.18307019993472
ISIC_0000030,0.5777598983554,190,143,171,102,65,82,76.74666082047092,57.43350904384711,68.57444656547037,0.051074207229604776,0.10271448457228954,156.621264180343
ISIC_0000032,0.15080418362901946,165,128,115,152,104,85,68.02400588851883,49.816518620342954,43.045690152493265,0.05567000463761783,0.08168750957153649,124.03400047309987
ISIC_0000034,0.11338749229318758,108,78,72,92,57,52,34.25499327806513,22.86547062165403,21.251849065416746,0.07308648681820488,0.21141967683359283,95.52399666722907
ISIC_0000035,0.17665666363387436,130,123,148,114,98,114,58.976037448375564,53.723213763079436,63.817174420233165,0.06492507082970395,0.13219438612662154,150.71599602975124
ISIC_0000037,0.33037616651546586,137,132,148,84,66,73,50.24609905260523,45.409653217407524,50.94521080489337,0.002027671399839131,0.002867560393688489,159.92953450942434
ISIC_0000039,0.15052256365052818,85,61,62,54,43,46,25.540595216102048,19.09414231003461,20.048898278477356,0.04501522334452878,0.047606023078933454,98.18857564700207
ISIC_0000042,0.4087830958529951,145,128,157,93,67,87,52.79144498293324,44.103260243503634,54.94458403341963,0.08514167647808009,0.07425687886412462,125.28756130711581
ISIC_0000043,0.20257372732958223,152,110,91,111,66,52,59.542939663106665,39.69527750695345,33.00645309714507,0.11867419295737948,0.12996694134912387,141.7946979845696
ISIC_0000045,0.3138674831289712,146,100,77,97,50,35,53.09524411044152,34.28892109341507,26.468330237289102,0.028490960802831974,0.04101587450231473,122.28572656012281
ISIC_0000046,0.16757262187094638,120,111,122,133,138,166,56.17248313686695,54.63872749859862,62.874987698708836,0.10867967360391166,0.17415679334680695,135.1187396028998
ISIC_0000047,0.36900528292660834,145,108,94,88,50,40,44.791690791219935,31.55618096207034,27.39012036661205,0.013123315064499872,0.012721429570842508,100.19762748426629
ISIC_0000048,0.15057189096378104,81,49,40,36,27,26,14.902230603381263,9.73188604564231,8.624429727975745,0.0031917741062522085,0.003881361220943189,93.9075196152136
